Consumer Demographics,Dis Catg,Foot Traffic,Prod Catg,Prod ID,Prod Pos,Promotion,Promotion Status,Seasonal,Comptr's Price,Price,Price Diff,Sales per Price,Sales Vol
Families,Higher Price,Medium,Clothing,185102,Aisle,No,Not Promoted,No,$16.16,$17.07,$0.91,165.377855888,2823
Seniors,Higher Price,Low,Clothing,188771,Aisle,No,Not Promoted,No,$13.13,$17.41,$4.28,37.564618036,654
Young adults,Higher Price,Medium,Electronics,180176,End-cap,Yes,Promoted,Yes,$38.37,$43.16,$4.79,51.436515292,2220
Families,Higher Price,Low,Clothing,112917,Aisle,Yes,Promoted,Yes,$38.98,$42.26,$3.28,37.103644108,1568
College students,Higher Price,Medium,Clothing,192936,End-cap,No,Not Promoted,Yes,$45.59,$47.94,$2.35,61.368377138,2942
Seniors,Higher Price,Medium,Clothing,117590,End-cap,No,Not Promoted,No,$34.34,$34.50,$0.16,86.028985507,2968
College students,Higher Price,High,Clothing,189118,Front of Store,Yes,Promoted,Yes,$40.15,$41.11,$0.96,23.157382632,952
College students,Higher Price,Low,Clothing,182157,Aisle,No,Not Promoted,No,$12.30,$15.75,$3.45,153.714285714,2421
Families,Higher Price,High,Electronics,141861,Aisle,Yes,Promoted,Yes,$26.75,$30.07,$3.32,63.717991354,1916
Families,Higher Price,High,Electronics,137121,Aisle,No,Not Promoted,Yes,$33.38,$38.00,$4.62,17.263157895,656
College students,Higher Price,High,Food,113143,Aisle,Yes,Promoted,Yes,$22.82,$27.42,$4.60,97.118891320,2663
College students,Higher Price,High,Food,140028,Aisle,Yes,Promoted,Yes,$9.39,$12.15,$2.76,103.703703704,1260
College students,Higher Price,Low,Food,134693,Aisle,Yes,Promoted,No,$28.93,$31.45,$2.52,67.535771065,2124
Families,Higher Price,Medium,Food,151396,Front of Store,Yes,Promoted,Yes,$17.04,$19.81,$2.77,36.799596164,729
Families,Higher Price,Low,Food,132889,Aisle,Yes,Promoted,Yes,$12.80,$15.74,$2.94,143.900889454,2265
Young adults,Higher Price,Medium,Clothing,152174,End-cap,No,Not Promoted,No,$12.94,$13.16,$0.22,169.148936170,2226
Young adults,Higher Price,Medium,Food,129906,Aisle,No,Not Promoted,No,$14.49,$14.58,$0.09,143.278463649,2089
